TWT,PHIE
620.0,0.00028011007626876786
624.0,-0.02508028043382331
628.0,-0.043361333517337654
632.0,-0.05016587122979378
636.0,-0.045763767343177615
640.0,-0.03543863952389044
644.0,-0.02730894337854881
648.0,-0.027842757878101133
652.0,-0.03768149238695714
656.0,-0.05103061470695014
660.0,-0.059057351943074876
664.0,-0.05472096835140344
668.0,-0.03652718409158926
672.0,-0.010015640808266982
676.0,0.014190027429170485
680.0,0.026180338931697758
684.0,0.023266502360119828
688.0,0.011618985690689872
692.0,0.0009513219443401268
696.0,-0.0031720937537514653
700.0,-0.0025527623505989727
704.0,-0.002830813693246777
708.0,-0.0071521598775537995
712.0,-0.012692328246943548
716.0,-0.012489065308281264
720.0,-0.0010490458735746854
724.0,0.019882943779201988
728.0,0.03974174493054579
732.0,0.04493066128638573
736.0,0.02996962333558144
740.0,0.0052857202007100335
744.0,-0.007504404434557185
748.0,0.007609353830217747
752.0,0.045168684634034235
756.0,0.07902726255058054
760.0,0.08208999245113868
764.0,0.04832914249409943
768.0,-0.003466968387113774
772.0,-0.04650603628295701
776.0,-0.06510910908341422
780.0,-0.059060178761772796
784.0,-0.035503699477305625
788.0,-0.0024126157108684634
792.0,0.030669754157750608
796.0,0.05160641697478536
800.0,0.050537953637912046
804.0,0.02684283272743785
808.0,-0.009304977254778595
812.0,-0.042468800067881333
816.0,-0.06011825421669833
820.0,-0.058337852624249925
824.0,-0.04254610911456465
828.0,-0.023318271805974157
832.0,-0.00986393992780206
836.0,-0.005405713423808398
840.0,-0.007301586541549067
844.0,-0.010603635264569608
848.0,-0.011433593657060924
852.0,-0.008394834212640985
856.0,-0.002603067185675304
